,Time,Ethereum Volume
150,1599436800000,21920007828.96099
151,1599523200000,14769191933.857542
152,1599609600000,14799132842.838894
153,1599696000000,13120851004.434223
154,1599782400000,74747424441.3974
155,1599868800000,12937594458.734825
156,1599955200000,11465259432.878637
157,1600041600000,13172306578.937866
158,1600128000000,14124838468.354868
159,1600214400000,12209389923.086823
160,1600300800000,13298202038.469078
161,1600387200000,16748693289.537083
162,1600473600000,9883257470.927006
163,1600560000000,11046298234.18736
164,1600646400000,11369621273.059267
165,1600732800000,14837815989.716738
166,1600819200000,11967106210.545612
167,1600905600000,9839917613.109154
168,1600992000000,12209550797.233208
169,1601078400000,10740036294.329079
170,1601164800000,10859942552.210592
171,1601251200000,9973839924.612421
172,1601337600000,9818467156.628036
173,1601424000000,9708794838.84551
174,1601510400000,8037484324.980594
175,1601596800000,11835729247.851833
176,1601683200000,12194440257.52427
177,1601769600000,8933121301.40709
178,1601856000000,8905022839.294907
179,1601942400000,9285381014.80383
180,1602028800000,10280978397.300406
181,1602115200000,8044228155.819704
182,1602201600000,9330978624.154116
183,1602288000000,11301702589.430536
184,1602374400000,10673988207.878847
185,1602460800000,8000631027.644073
186,1602547200000,12458841248.929943
187,1602633600000,9741612768.02954
188,1602720000000,10673398919.618017
189,1602806400000,10155629419.116392
190,1602892800000,9375570544.203642
191,1602979200000,8087278469.473757
192,1603065600000,7527761590.194419
193,1603152000000,8995049004.81075
194,1603238400000,7492023938.775781
195,1603324800000,12728437763.916903
196,1603411200000,12229478488.701916
197,1603497600000,11171063368.78023
198,1603584000000,9333976948.222593
199,1603670400000,8489563012.362298
200,1603756800000,14982520071.004465
201,1603843200000,10384433736.852089
202,1603929600000,11312414332.858248
203,1604016000000,10294153382.842941
204,1604102400000,10598788554.534933
205,1604188800000,9009356073.612816
206,1604275200000,8655139278.000864
207,1604361600000,8492071098.35507
208,1604448000000,9513314551.14123
209,1604534400000,11648560618.489246
210,1604620800000,13606373470.76514
211,1604707200000,16264349016.82086
212,1604793600000,15146746571.79792
213,1604880000000,11155033976.455217
214,1604966400000,12036099592.129189
215,1605052800000,7873172432.585956
216,1605139200000,11456937853.526192
217,1605225600000,11096201853.108873
218,1605312000000,10814357418.247974
219,1605398400000,9774490045.968235
220,1605484800000,8946780761.302334
221,1605571200000,9874800384.414816
222,1605657600000,12534266981.990389
223,1605744000000,15390748756.847664
224,1605830400000,10960245344.173328
225,1605916800000,15567496836.779345
226,1606003200000,17270632325.076218
227,1606089600000,20803203330.719395
228,1606176000000,22868894446.116894
229,1606262400000,19964356486.3813
230,1606348800000,15178975818.650188
231,1606435200000,25993581649.401203
232,1606521600000,14714678172.404446
233,1606608000000,9637463879.915295
234,1606694400000,13623124682.204208
235,1606780800000,18811269166.61186
236,1606867200000,23557071520.39523
237,1606953600000,14839044995.297548
238,1607040000000,12249197831.015257
239,1607126400000,14326184164.36095
240,1607212800000,11764206188.844515
241,1607299200000,11453823478.195438
242,1607385600000,10010900862.848228
243,1607472000000,13501656447.613894
244,1607558400000,14024278560.088686
245,1607644800000,11590043392.322668
246,1607731200000,11334198380.977062
247,1607817600000,9511330147.764025
248,1607904000000,9082894202.250328
249,1607990400000,7794572085.232029
250,1608076800000,10160486192.82214
251,1608163200000,14781462845.092134
252,1608249600000,19729196033.853626
253,1608336000000,16512361338.574877
254,1608422400000,14703775003.28234
255,1608508800000,12845420666.191206
256,1608595200000,14563648896.243877
257,1608681600000,11548425748.838194
258,1608768000000,16795838161.84157
259,1608854400000,15132872519.529186
260,1608940800000,13125875205.90394
261,1609027200000,14640527408.48169
262,1609113600000,24721301579.88044
263,1609200000000,22707049400.143177
264,1609286400000,17170428247.761232
265,1609372800000,13293869466.928808
266,1609459200000,18166112097.655663
267,1609545600000,13843183079.15519
268,1609632000000,20443662605.68775
269,1609718400000,140906534190.58786
270,1609804800000,62285144708.39812
271,1609891200000,47148245967.40434
272,1609977600000,47886847354.00142
273,1610064000000,43042878463.81648
274,1610150400000,48132624602.86217
275,1610236800000,34851118090.66404
276,1610323200000,44541377224.12463
277,1610409600000,67107873698.86543
278,1610496000000,37495863245.02223
279,1610582400000,32166268470.073753
280,1610668800000,34339866026.50668
281,1610755200000,39499008134.408424
282,1610841600000,38277998837.56892
283,1610928000000,35508914212.36928
284,1611014400000,30802895108.229195
285,1611100800000,52274850962.437416
286,1611187200000,52021227614.32531
287,1611273600000,49658518028.423325
288,1611360000000,48657448380.08583
289,1611446400000,30774910632.149376
290,1611532800000,39913977039.25946
291,1611619200000,44124188232.248085
292,1611705600000,40367492548.543144
293,1611792000000,38752412145.036766
294,1611878400000,32668893126.715786
295,1611964800000,49454503567.54182
296,1612051200000,29581914651.14533
297,1612137600000,24723054987.874157
298,1612224000000,28544048877.677177
299,1612310400000,42952410181.632454
300,1612396800000,42202356538.206825
301,1612483200000,42668487953.81155
302,1612569600000,39147540640.174576
303,1612656000000,36776919163.51647
304,1612742400000,38849634841.44165
305,1612828800000,45540524354.89187
306,1612915200000,42127693213.60732
307,1613001600000,40563120176.97226
308,1613088000000,33868453070.396435
309,1613174400000,36105354379.40371
310,1613260800000,33305061601.17683
311,1613347200000,30218599726.89195
312,1613433600000,37652347195.44906
313,1613520000000,33252538989.620327
314,1613606400000,33582379213.069286
315,1613692800000,34799956643.698685
316,1613779200000,34796767875.96328
317,1613865600000,44957939435.53464
318,1613952000000,33064349740.90669
319,1614038400000,53799590366.036766
320,1614124800000,62714754623.34122
321,1614211200000,40313400449.155266
322,1614297600000,31736119376.25847
323,1614384000000,36682073651.905846
324,1614470400000,28221473460.214203
325,1614556800000,35420463945.47327
326,1614643200000,31604939381.863796
327,1614729600000,29049758215.725
328,1614816000000,30352405292.089714
329,1614902400000,29848246930.850037
330,1614988800000,28537887161.018692
331,1615075200000,31094969328.98433
332,1615161600000,29416647567.957836
333,1615248000000,35353973627.380775
334,1615334400000,31147565432.965343
335,1615420800000,31746963272.74199
336,1615507200000,31257932436.53519
337,1615593600000,28436574756.548508
338,1615680000000,32785949401.529545
339,1615766400000,26379565439.25233
340,1615852800000,32950345872.852455
341,1615939200000,30686971237.08834
342,1616025600000,30744899541.009495
343,1616112000000,29651777827.921936
344,1616198400000,27345983317.046707
345,1616284800000,29495472699.399334
346,1616371200000,29228757709.8678
347,1616457600000,31376731220.175137
348,1616544000000,28758919428.479744
349,1616630400000,38413713634.36278
350,1616716800000,26325124557.630264
351,1616803200000,24804294373.644676
352,1616889600000,21118379279.876865
353,1616976000000,19859272131.74501
354,1617062400000,32618518751.6075
355,1617148800000,28496809577.711266
356,1617235200000,28955571443.672318
357,1617321600000,32076778812.4586
358,1617408000000,35467665330.67185
359,1617494400000,34872897876.651085
360,1617580800000,26817722961.480415
361,1617667200000,30867393925.630993
362,1617753600000,33391498272.783157
363,1617840000000,39604003543.54452
364,1617926400000,27145394978.191498
365,1618012800000,25076796421.07279
366,1618099200000,32243242817.777157
367,1618185600000,25369863410.044476
368,1618272000000,29096213677.73583
369,1618358400000,35760747636.05728
370,1618444800000,43351853140.30176
371,1618531200000,37106765660.11614
372,1618617600000,43982805217.511246
373,1618704000000,35627176091.57985
374,1618790400000,61890227351.97623
375,1618876800000,40335730705.29044
376,1618963200000,44737302423.76558
377,1619049600000,43726884251.94589
378,1619136000000,63343308067.3157
379,1619222400000,69126869461.51704
380,1619308800000,35640594314.43296
381,1619395200000,36744402576.60037
382,1619481600000,42791797037.03227
383,1619568000000,37611597877.629944
384,1619654400000,42878743228.1645
385,1619740800000,38536865198.32878
386,1619827200000,35477884578.62226
387,1619913600000,36721647718.00421
388,1620000000000,35727432415.51426
389,1620086400000,64192650586.42862
390,1620172800000,78437235045.70189
391,1620259200000,63552342594.19045
392,1620345600000,50430169752.9615
393,1620432000000,44980768421.369
394,1620518400000,60174921874.24125
395,1620604800000,61625657297.19764
396,1620691200000,80827215917.6633
397,1620777600000,67869198116.36811
398,1620864000000,78772032254.80873
399,1620950400000,97383442023.26581
400,1621036800000,63587729060.25979
401,1621123200000,58150860876.149025
402,1621209600000,67531308123.83328
403,1621296000000,75100584775.8453
404,1621382400000,59160464538.280525
