Time,Solana Market Cap,Binance Market Cap,Cronos Market Cap,Ethereum Market Cap,Fantom Market Cap,Polymath Market Cap,Tron Market Cap,XRP Market Cap
2021-05-17,12904194705.374098,79677505768.43378,3670504805.11578,381161976477.9278,1484206428.9059887,247824739.6515068,8129039310.443459,68590542697.55028
2021-05-18,15371663655.587006,78540136205.18047,3766563248.884752,390227141901.1161,1690351386.56029,258381123.2405658,8322538056.060673,72852567696.53607
2021-05-19,9921711894.075151,53692155787.03127,3153243014.7968416,295232973801.7795,1060912773.1161008,183066834.609795,5834723566.144909,50091782111.2559
2021-05-20,12171270499.157091,60332411437.02028,3231839398.027181,322162621074.79614,1135307593.3729074,213966932.7738152,6347003817.446217,54238776434.31301
2021-05-21,10430110171.295876,49571622639.55306,3185589278.341685,279623071718.589,894444559.2209101,221570195.4958794,5582016411.339455,46156188090.29648
2021-05-22,8668570148.20386,46672829740.58369,3070261733.167784,268503273693.00333,752227938.097165,223738626.0779545,5450991930.687521,41860408304.12428
2021-05-23,6741153859.711209,40105004419.42738,2474563941.610978,244070264760.92877,639852684.6243683,179069914.4373537,4530422034.356253,36912826641.026886
2021-05-24,8456340961.644993,52912859480.87061,3131901009.287445,306046123107.58295,862221479.1796114,201390487.2337304,5475573806.074912,45475035158.975365
2021-05-25,8200361459.252724,52939482766.35376,3175098637.3351483,312566215516.573,834242667.1373198,196169335.196674,5543073326.120173,44725206891.78951
2021-05-26,9637728345.153328,58140464824.59376,3344979722.7654176,334435114557.1313,963553984.661277,216515763.4730301,5967427568.932064,47675888355.92232
2021-05-27,9223068939.871317,56812189325.49153,3305503757.5771246,319404492002.5219,882942477.7916253,264009979.00481844,5698072904.151841,44831608818.18857
2021-05-28,7915741496.510311,51069299261.86949,2899621490.4255867,282228507934.91974,767823705.4611346,228197362.9615121,5187727440.306805,41327227215.889
2021-05-29,7555682949.616899,47615841361.244446,2881793176.0825973,268672927561.1248,715549439.602145,205436824.5826753,5004185663.262715,38784269249.7588
2021-05-30,7786190305.535411,50312143376.99665,2864688026.852145,278270782653.56213,747074760.9548044,204350362.6076832,5155571503.74169,41726594494.88639
2021-05-31,8921358871.643251,54552491112.92581,3197752526.432456,314463232386.7883,817181772.1762556,209622464.7034494,5494058081.782099,48054553991.807175
2021-06-01,8466375153.864945,55789519975.40357,3145864187.922441,306488816882.1444,789889274.9962101,204714758.70344335,5463441274.013716,46674110292.99546
2021-06-02,9317118424.38306,62216853673.38303,3296393268.378308,315313344228.8267,901434346.4277102,212346320.3272348,5599744889.2336855,47256850790.178375
2021-06-03,10988660955.92941,66203469970.6911,3387986786.1533766,333964598115.05035,975510285.8979433,218133612.31330743,5913437587.926436,48491814037.47901
2021-06-04,10271428908.065245,60689527765.42707,3081796213.769956,312991097366.8545,856801623.0866219,207134497.7625049,5554875169.509279,44809104088.392914
2021-06-05,10611364493.458803,59846984889.27947,2999193264.7668104,302743417251.8253,790166415.9264811,195147274.47383907,5404695948.40414,42302337683.14435
2021-06-06,11508207254.494314,60595496609.36863,3141439169.219648,315044778229.29706,862691593.9071357,209285115.781686,5553151901.878104,43471756649.737526
2021-06-07,10637505878.18168,55568008128.47511,2951829532.3674874,299857516850.1987,768490303.639613,192182354.3451374,5152302964.29092,39437071032.286285
2021-06-08,11375166576.681131,54677889296.85125,2895556620.336581,294068580258.7281,750455477.5387343,193872118.1582872,5216586928.359107,40450990715.74534
2021-06-09,11544497584.210085,58321133322.78771,3140490443.920356,304761367058.1624,779018790.0454874,196092283.3131075,5421720344.375081,42088605425.836
2021-06-10,11231058225.872488,54791987617.99424,2981732539.021157,289444120869.42664,716684159.1656424,212106753.3702306,5239213294.061656,40461589120.17616
2021-06-11,9831892846.255322,53238117722.61412,2980568482.142122,272748408238.43475,641843237.5552572,182288280.2025031,4963608016.008687,39130309347.56748
2021-06-12,10095207879.649364,53465798044.075775,2875411716.6088734,278223731471.048,617967197.7408689,169691636.0604252,4916900919.6082,38569016787.39522
2021-06-13,10521989454.932695,56433712415.26453,3037594049.7704773,292767118262.08405,710268477.5071099,187201106.92348936,5120134373.508309,40925186890.76209
2021-06-14,10808680336.53195,57233917454.64228,3030342717.4366245,300405113218.4146,761973364.399823,188763646.6198945,5169738716.406862,41253166682.60748
2021-06-15,10852976029.829046,57077376078.24857,2988444609.281471,298324322330.12646,741660454.8430282,184633491.9951204,5182420474.568162,40312888500.39617
2021-06-16,10781816203.272686,53441971881.88039,2885209323.422996,274666655404.67456,707741004.9515963,175341634.60303542,4923291263.627463,38620201137.317535
2021-06-17,10638298323.849005,54283380385.86557,2884832521.4542613,275415199641.5411,807220380.4484712,172119810.9442879,5247046796.732062,38819180172.98798
2021-06-18,10008182630.914902,52262937024.64517,2686056550.507585,260039646334.19235,752798586.0694907,169129721.75789738,4995449426.765038,36932589366.38297
2021-06-19,9621683962.87426,51823405992.95456,2735377826.7389374,253396709038.79895,788270518.0216765,162953556.42543966,4930616492.881324,35221141669.96444
2021-06-20,9611623563.108702,52532867592.99311,2726713279.3906,261478202409.19,787855407.7983671,164470340.26115686,4875524580.356112,35815532872.76087
2021-06-21,7439425733.837019,42900169324.99198,2334374316.103656,223202708788.7209,605569530.6683128,115495898.57311425,3919274138.475344,28871387082.35765
2021-06-22,7157859824.732246,40307776792.15118,2248740025.939413,216876757208.59253,547416989.4929441,100105073.33735365,3629554725.077785,25450718833.25376
2021-06-23,8377496849.572571,45761403437.01146,2440631444.831992,229518675836.76535,627558185.8145531,108362516.46609634,4048273503.481018,29694967545.318787
2021-06-24,8585542319.490724,47853190843.28099,2559485727.7628207,231644258719.40115,612354745.9481854,119230363.19029585,4747308297.15922,31057874496.418858
2021-06-25,7985242401.768215,44009190871.738106,2415086815.3601165,213871849531.6296,534714385.84712327,120524389.64882824,4472857471.687662,28700209150.03127
2021-06-26,7914659494.026683,42798282321.78064,2411458219.078214,209989265221.48505,535385670.3822279,121212058.7180018,4482614281.730644,28325396042.471207
2021-06-27,8602431238.497906,44615925834.05021,2667977705.013265,229354016311.0035,549235466.4376565,125876213.53088036,4644707064.650472,30171056185.70429
2021-06-28,9040653316.656572,44886803415.530174,2758002793.762696,243040539437.434,574135837.8153019,135235900.72657728,4680048542.361799,29942729066.831112
2021-06-29,9355893411.033451,46872790459.90127,2939793016.9730825,253607549372.41992,601412820.8173103,144447482.60515454,4877122312.66533,32605743402.647835
2021-06-30,9784660089.64145,46954864788.72594,2913727489.959573,265951575833.03497,605779297.5994596,153837009.56429192,4891857389.270165,32268800761.051617
2021-07-01,9145093164.974163,44649305234.25196,2851398499.050961,247210647940.18707,564879722.6020672,165485179.9434086,4656219826.830843,30647057119.673344
2021-07-02,9219660440.797184,44372602649.994255,2883893197.710627,250754468066.2188,578020263.097412,162272599.3509136,4758781823.610569,30215830565.461456
2021-07-03,9395489549.381342,46132901612.52061,2993652883.055573,259079167729.78625,593320917.0877391,169675073.2967337,4791306599.509775,31138455875.2886
2021-07-04,9396692749.038609,47786813767.72331,3107974035.835545,271472550895.4458,622113360.2857645,174136606.34840542,4846858583.414551,32159771283.85795
2021-07-05,9033978686.400784,47061155248.5336,2937607465.114709,258719784082.81683,591055123.2220829,170010964.05576602,4646707802.664574,30453863819.504448
2021-07-06,9343669279.576614,49507487066.40898,3083925594.0940943,270697947572.19247,633097685.9007777,173226199.56485885,4648866287.921184,30723093719.801144
2021-07-07,9995196544.250605,50772663395.84581,3015062032.5890903,270116728160.1227,655329132.2893914,183294996.5709445,4618022351.739675,30147793682.466797
2021-07-08,9137574846.549248,48131735208.82834,2857579296.618765,248124573571.6789,604104366.5268879,156982027.92272335,4397188048.739893,28843574198.216454
2021-07-09,9138440436.827875,49188528580.23943,3043435589.702628,251611015863.3228,601320641.2400131,159909360.62883008,4480289556.295508,29681644971.035645
2021-07-10,8716478997.829847,49113706032.49423,2991045167.783116,247860822594.064,577494254.5020497,161986676.02642018,4416356903.160505,29048791926.905117
2021-07-11,8760359617.466415,49795281333.2416,3312454887.1909347,250027222000.60452,588705846.8706976,168647219.54834428,4451204211.338376,29486316673.96478
2021-07-12,8429306463.204107,49001034088.52431,3140932081.467935,238086643137.17004,572771808.9704893,173853696.2539432,4333926240.170025,29247980265.76016
2021-07-13,7953342249.0019,47747229553.78467,3235536089.258275,227135827760.92883,564483095.2730889,170810360.055336,4267207437.762833,28670030241.537884
