,Time,Fantom Market Cap
145,1599004800000,99256981.99294415
146,1599091200000,134259998.055826
147,1599177600000,103779606.620433
148,1599264000000,108290802.90417188
149,1599350400000,75140318.51560096
150,1599436800000,83848930.80610433
151,1599523200000,79391733.06941481
152,1599609600000,73741325.27089024
153,1599696000000,76381355.57315862
154,1599782400000,80895444.42565611
155,1599868800000,76240885.30339415
156,1599955200000,74908335.61814708
157,1600041600000,66980626.25989158
158,1600128000000,73150591.09632283
159,1600214400000,66572386.27274691
160,1600300800000,67239014.98739202
161,1600387200000,67308014.6562895
162,1600473600000,93874679.31014952
163,1600560000000,100397500.14867476
164,1600646400000,85622929.57074755
165,1600732800000,96352878.51665658
166,1600819200000,111759162.15680328
167,1600905600000,88570961.64815022
168,1600992000000,98824944.60829449
169,1601078400000,104418580.74294035
170,1601164800000,100777323.66472873
171,1601251200000,98965825.27533051
172,1601337600000,97540557.9528638
173,1601424000000,97748785.41042116
174,1601510400000,95360157.2273337
175,1601596800000,92331072.09457022
176,1601683200000,83552631.5115209
177,1601769600000,80665117.09843989
178,1601856000000,80627547.90065499
179,1601942400000,75738869.12790164
180,1602028800000,64784224.65293852
181,1602115200000,67273968.96352416
182,1602201600000,71661828.76253158
183,1602288000000,79277656.49357717
184,1602374400000,78252453.91276562
185,1602460800000,81674932.82754591
186,1602547200000,79937269.66750862
187,1602633600000,78108797.00273518
188,1602720000000,72515652.02564968
189,1602806400000,75325528.35592492
190,1602892800000,63526472.65798684
191,1602979200000,65257086.38844641
192,1603065600000,65714097.871755674
193,1603152000000,63015037.46040129
194,1603238400000,56916545.60790759
195,1603324800000,58999232.20900375
196,1603411200000,62849543.28298788
197,1603497600000,61094178.867266886
198,1603584000000,64479205.08176242
199,1603670400000,60535520.5313725
200,1603756800000,55262227.66660407
201,1603843200000,54374992.29546978
202,1603929600000,47673291.20817325
203,1604016000000,42281282.37129927
204,1604102400000,43310254.65183101
205,1604188800000,42132781.028189935
206,1604275200000,40716740.56348533
207,1604361600000,40364741.31177241
208,1604448000000,38237822.04153048
209,1604534400000,34576659.15772953
210,1604620800000,36434978.11462408
211,1604707200000,45304053.46013043
212,1604793600000,45538726.083124146
213,1604880000000,48964735.62305777
214,1604966400000,45478479.059547536
215,1605052800000,52789820.980462566
216,1605139200000,49967176.21766785
217,1605225600000,44213696.73673016
218,1605312000000,46976833.845203586
219,1605398400000,45597562.629535735
220,1605484800000,44513229.855857804
221,1605571200000,48668953.63046777
222,1605657600000,49281540.75606621
223,1605744000000,43930395.009072475
224,1605830400000,45318840.72351696
225,1605916800000,46657826.931386024
226,1606003200000,50617933.574528664
227,1606089600000,47902550.40520448
228,1606176000000,55756667.10218109
229,1606262400000,59153794.15428736
230,1606348800000,56715234.6700988
231,1606435200000,46168593.4515937
232,1606521600000,45501015.35766698
