,Time,Tron Market Cap
122,1597017600000,1351206041.0602841
123,1597104000000,1540087370.4081736
124,1597190400000,1448059464.3627288
125,1597276800000,1448454733.872007
126,1597363200000,1598181105.7367582
127,1597449600000,1773095457.6296072
128,1597536000000,1800500620.939422
129,1597622400000,2004829141.3802955
130,1597708800000,2177322276.44678
131,1597795200000,2056165352.3217645
132,1597881600000,1894966987.0383775
133,1597968000000,1973679998.8806942
134,1598054400000,1735654888.705267
135,1598140800000,1800770628.3339677
136,1598227200000,1746424436.023542
137,1598313600000,1797018341.4353862
138,1598400000000,1664029922.6047373
139,1598486400000,1699531070.2167757
140,1598572800000,1651861024.0946293
141,1598659200000,1716739822.3462267
142,1598745600000,1789978305.7823682
143,1598832000000,1925720685.055772
144,1598918400000,2106364631.2178705
145,1599004800000,2539265375.233237
146,1599091200000,2500138440.486889
147,1599177600000,2968464928.9952216
148,1599264000000,2557999528.638269
149,1599350400000,2148203424.5648236
150,1599436800000,2273578872.9200454
151,1599523200000,2304687627.758872
152,1599609600000,2506697826.510688
153,1599696000000,2432250822.6366944
154,1599782400000,2360943486.2121215
155,1599868800000,2393152993.1620374
156,1599955200000,2345089676.8291745
157,1600041600000,2191624244.217628
158,1600128000000,2176497962.9353347
159,1600214400000,2000437910.464449
160,1600300800000,1898490896.5803092
161,1600387200000,2005533256.2404203
162,1600473600000,2071796866.6582963
163,1600560000000,1987357097.1208086
164,1600646400000,1937096059.1980515
165,1600732800000,1796697088.8100562
166,1600819200000,1783816866.3631887
167,1600905600000,1779348735.8154309
168,1600992000000,1867972703.9292634
169,1601078400000,1941450202.2674205
170,1601164800000,1950485517.7860825
171,1601251200000,1901276011.733478
172,1601337600000,1877591030.454089
173,1601424000000,1888147587.5158238
174,1601510400000,1877606980.3102298
175,1601596800000,1835572400.865505
176,1601683200000,1863300044.7421682
177,1601769600000,1954274588.4627397
178,1601856000000,1895422203.6315875
179,1601942400000,1896932206.6168573
180,1602028800000,1832368643.9958699
181,1602115200000,1827287513.199129
182,1602201600000,1840876785.9008768
183,1602288000000,1885921800.4906604
184,1602374400000,1893972435.2584589
185,1602460800000,1902210362.5895839
186,1602547200000,1944395776.508417
187,1602633600000,1921550555.451818
188,1602720000000,1915921477.2110016
189,1602806400000,1896921623.0721695
190,1602892800000,1846307959.4090476
191,1602979200000,1846221637.7514503
192,1603065600000,1858241265.5817149
193,1603152000000,1854310115.3884964
194,1603238400000,1862153059.5998118
195,1603324800000,1909678260.4099681
196,1603411200000,1938752951.8651433
197,1603497600000,1913992976.4521067
198,1603584000000,1938329263.3849914
199,1603670400000,1930893471.7987695
200,1603756800000,1918513676.4887853
201,1603843200000,1933822218.9668386
202,1603929600000,1926742846.2408566
203,1604016000000,1904266072.5709682
204,1604102400000,1836926363.8842056
205,1604188800000,1851059113.000115
206,1604275200000,1840588921.3843713
207,1604361600000,1757120094.3608923
208,1604448000000,1745186268.123213
209,1604534400000,1734784879.4401581
210,1604620800000,1788274392.3737195
211,1604707200000,1868677635.4323251
212,1604793600000,1793306742.9305208
213,1604880000000,1823731920.4431887
214,1604966400000,1779120641.0647614
215,1605052800000,1783715409.8667557
216,1605139200000,1789671717.7939093
217,1605225600000,1790853418.3679774
218,1605312000000,1813418816.9131594
219,1605398400000,1802217154.0708046
220,1605484800000,1810243224.0749412
221,1605571200000,1819393729.5655425
222,1605657600000,1890051319.666887
223,1605744000000,1930287883.63499
224,1605830400000,1846615826.5162678
225,1605916800000,1879975405.4410641
226,1606003200000,2173231120.159422
227,1606089600000,2076527477.9528525
228,1606176000000,2240811283.8710995
229,1606262400000,2506562509.231706
230,1606348800000,2361750868.326899
231,1606435200000,2101085833.6531284
232,1606521600000,2100115084.187797
233,1606608000000,2176657467.432039
234,1606694400000,2192297028.4670944
235,1606780800000,2320261920.8906655
236,1606867200000,2173072754.301631
237,1606953600000,2239723421.090496
238,1607040000000,2265127722.4908805
239,1607126400000,2121135218.231058
240,1607212800000,2191814932.565342
241,1607299200000,2218447843.005035
242,1607385600000,2175138470.357377
243,1607472000000,2003924932.9526422
244,1607558400000,2061410563.2064333
245,1607644800000,2016838641.1756234
246,1607731200000,1995624291.6870756
247,1607817600000,2047475116.7800806
248,1607904000000,2090383053.244996
249,1607990400000,2082975578.2428696
250,1608076800000,2092029640.9671857
251,1608163200000,2217202349.999367
252,1608249600000,2200488915.3796344
253,1608336000000,2228275726.560816
254,1608422400000,2244190476.833455
255,1608508800000,2236682629.9565997
256,1608595200000,2112642476.5765526
257,1608681600000,2070929538.2675707
258,1608768000000,1801727101.0148416
259,1608854400000,1979655532.3408272
260,1608940800000,2035015703.7468023
261,1609027200000,1985727989.537778
262,1609113600000,2081900121.3005068
263,1609200000000,2115731776.7020419
264,1609286400000,1973709951.059294
265,1609372800000,1929169522.3468943
266,1609459200000,1918734259.4133859
267,1609545600000,1927428460.4736774
268,1609632000000,1953955406.6188219
269,1609718400000,2143782786.0145097
270,1609804800000,2197459010.85919
271,1609891200000,2050149400.357792
272,1609977600000,2216470510.6955585
273,1610064000000,2208686804.6825686
274,1610150400000,2183011841.618219
275,1610236800000,2462463494.48096
276,1610323200000,2374988871.9908977
277,1610409600000,2078746516.4453843
278,1610496000000,2052540842.0240395
279,1610582400000,2159051159.9791036
280,1610668800000,2152424748.4320817
281,1610755200000,2139819913.8297157
282,1610841600000,2168667455.1479344
283,1610928000000,2170970138.4544506
284,1611014400000,2265881777.8444405
285,1611100800000,2211844148.168651
286,1611187200000,2183720846.7278533
287,1611273600000,1998357623.5086539
288,1611360000000,2039986962.809042
289,1611446400000,2090689872.2785382
290,1611532800000,2153017219.0698895
291,1611619200000,2127316043.0688205
292,1611705600000,2108929375.5160627
293,1611792000000,2023288993.7872934
294,1611878400000,2121187276.5810778
295,1611964800000,2386249972.6194453
296,1612051200000,2268502271.017194
297,1612137600000,2261454306.6984525
298,1612224000000,2354638900.094571
299,1612310400000,2380380850.7251854
300,1612396800000,2459585464.123432
301,1612483200000,2393029725.06396
302,1612569600000,2591602832.656809
303,1612656000000,2505141647.870144
304,1612742400000,2585094478.7853045
305,1612828800000,2896562253.1526933
306,1612915200000,3307719410.6380315
307,1613001600000,3315838856.877564
308,1613088000000,4125858844.054774
309,1613174400000,3969866814.4897904
310,1613260800000,4273400008.232497
311,1613347200000,3988554135.696508
312,1613433600000,3637384659.203036
313,1613520000000,3732214836.664188
314,1613606400000,3770282092.786227
315,1613692800000,3942038158.4813595
316,1613779200000,4386621751.79172
317,1613865600000,4126449595.737491
318,1613952000000,4288724396.5489507
319,1614038400000,3907594356.518099
320,1614124800000,3207398948.539616
321,1614211200000,3443446098.694895
322,1614297600000,3262510548.6205015
323,1614384000000,3253119066.4685974
324,1614470400000,3361443306.273645
325,1614556800000,3272912690.586012
326,1614643200000,3429250085.5700054
327,1614729600000,3370887597.80876
328,1614816000000,3530824412.6404486
329,1614902400000,3694182811.9189315
330,1614988800000,3597800895.3900366
331,1615075200000,3602389575.721803
332,1615161600000,3717299131.273014
333,1615248000000,3801914036.624479
334,1615334400000,3800847390.540205
335,1615420800000,3705080043.2079616
336,1615507200000,3685927959.7101965
337,1615593600000,3583675344.109033
