,Time,Cronos Volume
127,1597449600000,70057998.06826623
128,1597536000000,70573770.44575989
129,1597622400000,69490387.78451566
130,1597708800000,77288494.63117622
131,1597795200000,70709815.90414646
132,1597881600000,65661159.685542196
133,1597968000000,59792071.59811349
134,1598054400000,190156477.62014607
135,1598140800000,110548661.74293219
136,1598227200000,70754701.09070358
137,1598313600000,76270218.05619922
138,1598400000000,77129365.7688765
139,1598486400000,70898776.45703867
140,1598572800000,65286002.41687566
141,1598659200000,64519702.83668259
142,1598745600000,61780119.76678241
143,1598832000000,64179421.24520718
144,1598918400000,75618462.87441383
145,1599004800000,79453471.50254798
146,1599091200000,78144578.32260641
147,1599177600000,69928849.00251566
148,1599264000000,67266126.62547576
149,1599350400000,73901667.91577902
150,1599436800000,66124779.395726286
151,1599523200000,66797847.97249286
152,1599609600000,65085014.67457603
153,1599696000000,62092656.32539087
154,1599782400000,61903274.50411503
155,1599868800000,75661662.45251721
156,1599955200000,66424125.19665114
157,1600041600000,62878287.271357365
158,1600128000000,66268835.92206712
159,1600214400000,67191433.17476988
160,1600300800000,63423434.35955792
161,1600387200000,61275226.5858184
162,1600473600000,46867300.54003032
163,1600560000000,54038642.19536626
164,1600646400000,77128098.4217187
165,1600732800000,48120368.6230097
166,1600819200000,53980717.797906
167,1600905600000,60393759.28036285
168,1600992000000,63600997.455956906
169,1601078400000,61266589.262527175
170,1601164800000,56948905.71459543
171,1601251200000,63226170.286236845
172,1601337600000,60305509.01627769
173,1601424000000,60329118.61317704
174,1601510400000,58278766.35705764
175,1601596800000,67064744.6037664
176,1601683200000,64615281.43753501
177,1601769600000,57228334.53458829
178,1601856000000,60718749.539714634
179,1601942400000,64901582.131002665
180,1602028800000,64797972.79759978
181,1602115200000,54181051.2211249
182,1602201600000,67632756.16926372
183,1602288000000,60481633.79889324
184,1602374400000,71111409.48770301
185,1602460800000,66964034.09079187
186,1602547200000,62141080.59966559
187,1602633600000,62926898.17615272
188,1602720000000,60860645.90045687
189,1602806400000,65259890.96561543
190,1602892800000,62752820.970617354
191,1602979200000,57327330.58313793
192,1603065600000,76451894.54458074
193,1603152000000,75211707.46365756
194,1603238400000,61930579.252896816
195,1603324800000,62430568.23907627
196,1603411200000,67574919.06328756
197,1603497600000,56931488.57128062
198,1603584000000,48716705.49690397
199,1603670400000,43934945.46707485
200,1603756800000,52369790.640118934
201,1603843200000,53066073.199253745
202,1603929600000,47614982.18203653
203,1604016000000,42753147.23593375
204,1604102400000,44682986.69675477
205,1604188800000,44959070.699991584
206,1604275200000,57473926.0375676
207,1604361600000,47793446.26241291
208,1604448000000,49349712.27385926
209,1604534400000,43621205.91938221
210,1604620800000,39838748.24733821
211,1604707200000,48085733.66814534
212,1604793600000,46495118.39185464
213,1604880000000,35287906.015358426
214,1604966400000,39852583.72413454
215,1605052800000,40208821.615572825
216,1605139200000,38857718.5608875
217,1605225600000,43280138.99147246
218,1605312000000,28600893.687466692
219,1605398400000,30873382.705053203
220,1605484800000,29953490.14280583
221,1605571200000,28296605.339180924
222,1605657600000,32386405.99703329
223,1605744000000,43930260.98395101
224,1605830400000,38519462.01002768
225,1605916800000,43751061.202715166
226,1606003200000,60264756.31362317
227,1606089600000,52622892.18854556
228,1606176000000,56210214.011249505
229,1606262400000,78587386.74846381
230,1606348800000,72069366.17866455
231,1606435200000,67790391.01885246
232,1606521600000,54390309.3061846
233,1606608000000,41818494.141858764
234,1606694400000,40025146.58183745
235,1606780800000,58061339.3509825
236,1606867200000,57778105.108602434
237,1606953600000,51019544.87284504
238,1607040000000,46951501.12064751
239,1607126400000,45945045.918419726
240,1607212800000,42813611.341183715
241,1607299200000,37100238.808211505
242,1607385600000,42729581.300195776
243,1607472000000,44675227.58986921
244,1607558400000,44812090.058458515
245,1607644800000,36152802.42172645
246,1607731200000,37760865.13160928
247,1607817600000,32214504.24009528
248,1607904000000,35176140.6841903
249,1607990400000,42940848.303285316
250,1608076800000,48174571.083291024
251,1608163200000,52503591.40746054
252,1608249600000,72817387.04256454
253,1608336000000,48628111.169286676
254,1608422400000,51529846.81086912
255,1608508800000,52405633.28596526
256,1608595200000,84984353.39479397
257,1608681600000,64832819.92061374
258,1608768000000,56705287.62223627
259,1608854400000,44429710.144163534
260,1608940800000,44080321.227068916
261,1609027200000,44136324.00887618
262,1609113600000,48452968.89263437
263,1609200000000,48673862.20564198
264,1609286400000,45660363.39056262
265,1609372800000,50599974.3930553
266,1609459200000,40010954.84968129
267,1609545600000,41315843.74853487
268,1609632000000,149179085.63527665
269,1609718400000,72793275.89341423
270,1609804800000,145957376.38426688
271,1609891200000,71197610.11247945
272,1609977600000,143506766.0942972
273,1610064000000,143493738.72596753
274,1610150400000,152983970.97358137
275,1610236800000,75058330.68498333
276,1610323200000,96925417.45872922
277,1610409600000,131821843.99940348
278,1610496000000,56380530.34290275
279,1610582400000,51466850.292013325
280,1610668800000,61594231.524519585
281,1610755200000,63518386.817718014
282,1610841600000,68917856.79961573
283,1610928000000,91943260.54094292
284,1611014400000,70131401.00259763
285,1611100800000,69784872.44305524
286,1611187200000,66882124.147815794
287,1611273600000,62699943.75868598
288,1611360000000,63281027.685247526
289,1611446400000,48437059.43545375
290,1611532800000,48283234.40909274
291,1611619200000,49167734.224134594
292,1611705600000,45217672.48430645
293,1611792000000,53360388.72867064
294,1611878400000,71712365.22694016
295,1611964800000,107347150.48387459
296,1612051200000,117426782.1728171
297,1612137600000,92761723.99167815
298,1612224000000,104521244.44980186
299,1612310400000,105970839.28302762
300,1612396800000,115490037.71705961
301,1612483200000,68038516.96126705
302,1612569600000,71830735.2078607
303,1612656000000,79862085.06761539
304,1612742400000,74052438.55141455
305,1612828800000,99601979.56955878
306,1612915200000,191725840.5459572
307,1613001600000,171016022.15170723
308,1613088000000,126989424.67095916
309,1613174400000,222997481.43596694
310,1613260800000,160888724.6959286
311,1613347200000,130299482.65632667
312,1613433600000,133203335.15743645
313,1613520000000,89332152.10728477
314,1613606400000,245969756.4090449
315,1613692800000,340226200.6595292
316,1613779200000,323718233.4981232
317,1613865600000,280904901.9157898
318,1613952000000,188283579.2403995
319,1614038400000,2034762971.0292659
320,1614124800000,763263867.2623398
321,1614211200000,305454919.6914044
322,1614297600000,432789096.42874646
323,1614384000000,334443981.16068834
324,1614470400000,238604797.35681012
325,1614556800000,223649016.75161391
326,1614643200000,199501770.41729373
327,1614729600000,263362630.85296363
328,1614816000000,225838681.49003994
329,1614902400000,210355560.16847527
330,1614988800000,156582416.03358966
331,1615075200000,153065471.81856573
332,1615161600000,172390794.59895268
333,1615248000000,166290107.5682241
334,1615334400000,218312445.69047695
335,1615420800000,177739568.39341417
336,1615507200000,296432902.75384593
337,1615593600000,263860988.62496436
338,1615680000000,242929178.38055646
339,1615766400000,161298293.55014628
340,1615852800000,214492717.23963118
341,1615939200000,355053372.8719014
342,1616025600000,265413683.25388727
343,1616112000000,613072024.4690179
344,1616198400000,425629074.23315465
345,1616284800000,363883490.54302835
346,1616371200000,244142434.519396
347,1616457600000,314055479.6056405
348,1616544000000,298777554.0213522
349,1616630400000,405152185.8993418
350,1616716800000,263578579.54046836
351,1616803200000,201006916.122842
352,1616889600000,187224755.10485333
353,1616976000000,163887110.96703297
354,1617062400000,320721670.08826834
355,1617148800000,191070279.80466363
356,1617235200000,208799687.0155762
357,1617321600000,262083823.54043162
358,1617408000000,262459086.96570992
359,1617494400000,256315676.72482
360,1617580800000,162609229.85132012
361,1617667200000,313132214.64883727
362,1617753600000,260525366.48444563
363,1617840000000,479982915.658439
364,1617926400000,166194229.36821154
365,1618012800000,149431146.6058037
366,1618099200000,324575303.35654944
367,1618185600000,225058202.10011232
368,1618272000000,151198925.978937
369,1618358400000,252394259.5222445
370,1618444800000,406173198.33951384
371,1618531200000,225699338.3237159
372,1618617600000,330245423.85792893
