,Time,Binance Volume
104,1595462400000,205429162.14826882
105,1595548800000,215334638.41373804
106,1595635200000,258626823.26984847
107,1595721600000,272679558.3175524
108,1595808000000,256257974.0379285
109,1595894400000,343447724.2415311
110,1595980800000,288337828.9216607
111,1596067200000,207031363.72103673
112,1596153600000,199617619.82762265
113,1596240000000,236980556.8841673
114,1596326400000,277265421.70421046
115,1596412800000,315451499.9332235
116,1596499200000,279416796.59802943
117,1596585600000,246028383.432916
118,1596672000000,350188271.6294137
119,1596758400000,262793562.791695
120,1596844800000,334483626.1144872
121,1596931200000,246134097.37599334
122,1597017600000,224819393.0913663
123,1597104000000,241187735.45758697
124,1597190400000,328915622.616668
125,1597276800000,270049274.1905097
126,1597363200000,286251052.123591
127,1597449600000,385009628.8177579
128,1597536000000,283594972.62556607
129,1597622400000,284809741.52866864
130,1597708800000,280196303.51109457
131,1597795200000,271410617.3488436
132,1597881600000,240981711.80246103
133,1597968000000,253331918.21161318
134,1598054400000,262582143.53376904
135,1598140800000,207704017.55741757
136,1598227200000,191951846.5603934
137,1598313600000,198567502.87549114
138,1598400000000,246965279.2546199
139,1598486400000,265829129.09790176
140,1598572800000,298087776.5902209
141,1598659200000,275873858.950788
142,1598745600000,224020180.56624666
143,1598832000000,242465281.0725434
144,1598918400000,226364373.29574117
145,1599004800000,464622720.8644604
146,1599091200000,598973209.7440873
147,1599177600000,610440504.7358899
148,1599264000000,513886862.9835712
149,1599350400000,418830419.4678139
150,1599436800000,755431632.9076576
151,1599523200000,565967822.6691893
152,1599609600000,569283063.0351115
153,1599696000000,467657915.7861689
154,1599782400000,480864281.37880474
155,1599868800000,443497208.2735328
156,1599955200000,722048008.6022166
157,1600041600000,1204406182.07132
158,1600128000000,1073196306.9024168
159,1600214400000,935693765.1603587
160,1600300800000,711704644.2212099
161,1600387200000,425105137.0244049
162,1600473600000,406378803.9085718
163,1600560000000,350612365.6065321
164,1600646400000,370273177.6034905
165,1600732800000,423273273.27081376
166,1600819200000,378103488.0063865
167,1600905600000,347342769.967389
168,1600992000000,373755511.9432241
169,1601078400000,353550737.40461797
170,1601164800000,360614333.50742364
171,1601251200000,346164386.63903743
172,1601337600000,409745128.1550127
173,1601424000000,470569222.7425147
174,1601510400000,443200921.29671556
175,1601596800000,443482779.6053237
176,1601683200000,476985560.9632853
177,1601769600000,388752523.4064708
178,1601856000000,396194635.61245245
179,1601942400000,340780200.76853126
180,1602028800000,395033652.70382965
181,1602115200000,316761178.07295865
182,1602201600000,344379052.54621184
183,1602288000000,338942258.57169855
184,1602374400000,327974396.03624696
185,1602460800000,306144831.547913
186,1602547200000,501643095.2806933
187,1602633600000,406898662.76747274
188,1602720000000,340246039.76171505
189,1602806400000,377660568.15032285
190,1602892800000,407813529.0375932
191,1602979200000,281729618.2540635
192,1603065600000,305775892.0636006
