,Time,Polymath Market Cap
85,1593820800000,25775888.57065117
86,1593907200000,26219819.646662496
87,1593993600000,27652426.813119575
88,1594080000000,27339609.72746981
89,1594166400000,27050187.146776143
90,1594252800000,27779755.17133513
91,1594339200000,27689340.54551551
92,1594425600000,29240643.666217513
93,1594512000000,30191501.710482147
94,1594598400000,29206398.739397854
95,1594684800000,29481915.445885748
96,1594771200000,28818086.53801666
97,1594857600000,28065275.508466646
98,1594944000000,26835641.481457524
99,1595030400000,27209709.988003854
100,1595116800000,27056379.978702348
101,1595203200000,27243662.06856097
102,1595289600000,27899954.00385311
103,1595376000000,27916345.305159066
104,1595462400000,28428173.069037143
105,1595548800000,28150106.019312307
106,1595635200000,27683362.408175442
107,1595721600000,28077038.187045258
108,1595808000000,26597114.202040765
109,1595894400000,24775896.284736283
110,1595980800000,25284132.37063547
111,1596067200000,27205939.462031536
112,1596153600000,26696533.739930544
113,1596240000000,26441543.357089464
114,1596326400000,27140194.18464952
115,1596412800000,25465026.321283128
116,1596499200000,26242476.191089235
117,1596585600000,27319112.081059884
118,1596672000000,27156243.10547761
119,1596758400000,27970678.20654427
120,1596844800000,27756969.216864403
121,1596931200000,29273182.328980967
122,1597017600000,31522649.31055196
123,1597104000000,31970680.93166735
124,1597190400000,30266464.41472656
125,1597276800000,33224631.456854586
126,1597363200000,32284140.069639135
127,1597449600000,33171646.04570289
128,1597536000000,32738413.064785246
129,1597622400000,36240908.72215681
130,1597708800000,38136585.24853656
131,1597795200000,41889693.425161086
132,1597881600000,38310146.02899746
133,1597968000000,39219097.73980798
134,1598054400000,35967317.21086397
135,1598140800000,38062199.3770665
136,1598227200000,40388040.25377523
137,1598313600000,42040315.33013366
138,1598400000000,37961167.48185637
139,1598486400000,40214534.154678896
140,1598572800000,37471863.51792401
141,1598659200000,39872723.360107064
142,1598745600000,43081903.25974103
143,1598832000000,42756659.85952123
144,1598918400000,40783682.1809724
145,1599004800000,39500881.96312487
146,1599091200000,38322980.29163267
147,1599177600000,29910881.32034087
148,1599264000000,33018858.351484586
149,1599350400000,29020774.609411597
150,1599436800000,31129575.648597278
151,1599523200000,29095066.343767125
152,1599609600000,28255346.11136509
153,1599696000000,29929840.063332576
154,1599782400000,32186991.413562134
155,1599868800000,33466678.822356306
156,1599955200000,34547904.74852819
157,1600041600000,32044020.40287902
158,1600128000000,32203865.454672568
159,1600214400000,30771877.11187287
160,1600300800000,28892386.724653285
161,1600387200000,29792273.19533074
162,1600473600000,30040844.180395722
163,1600560000000,31021771.504500818
164,1600646400000,29128774.0475075
165,1600732800000,26513938.26443684
166,1600819200000,25769648.60699894
167,1600905600000,22910347.44145684
168,1600992000000,25189247.715554334
169,1601078400000,26608234.954567317
170,1601164800000,26151974.052066952
171,1601251200000,28421787.661783755
172,1601337600000,29565942.881677147
173,1601424000000,29436856.480168294
174,1601510400000,32104081.42342341
175,1601596800000,30043248.25791875
176,1601683200000,28003416.768805254
177,1601769600000,27580853.830331836
178,1601856000000,29118117.211699307
179,1601942400000,30358507.28588138
180,1602028800000,28523561.719455127
181,1602115200000,30117014.970891815
182,1602201600000,32099701.55155904
183,1602288000000,33709210.22092791
184,1602374400000,34769544.61584017
185,1602460800000,34377573.94116913
186,1602547200000,34894593.541670755
187,1602633600000,36464561.039246306
188,1602720000000,36217055.66803961
189,1602806400000,36833105.610368825
190,1602892800000,33974038.849443115
191,1602979200000,34227675.3208181
192,1603065600000,34247248.79048896
193,1603152000000,32267332.97316305
194,1603238400000,32835615.596694615
195,1603324800000,31812349.334191065
196,1603411200000,32524676.67637098
197,1603497600000,32436109.688300423
198,1603584000000,38118676.97528201
199,1603670400000,35532766.81300526
200,1603756800000,33634123.07118887
201,1603843200000,32533881.18353193
202,1603929600000,30843299.041152645
203,1604016000000,30354560.16326533
204,1604102400000,31622480.892665014
205,1604188800000,31396032.475263566
206,1604275200000,31261976.796802927
207,1604361600000,29428638.980987314
208,1604448000000,28619887.501012214
209,1604534400000,27683229.40549161
210,1604620800000,29179991.365346655
211,1604707200000,32548516.753845107
212,1604793600000,36388140.57343807
213,1604880000000,37217720.790768005
214,1604966400000,52056096.77186799
215,1605052800000,43986939.3083865
216,1605139200000,40676498.004991695
217,1605225600000,42846840.5868085
218,1605312000000,43771140.689750105
219,1605398400000,42351057.08365175
220,1605484800000,42773823.53491974
221,1605571200000,42114480.22684554
222,1605657600000,41290362.1442218
223,1605744000000,40184213.71464711
224,1605830400000,42563069.55059365
225,1605916800000,43705723.219153866
226,1606003200000,45743457.70637277
227,1606089600000,44631105.306674235
228,1606176000000,44826404.32321016
229,1606262400000,45843820.72848021
230,1606348800000,47773303.99462776
231,1606435200000,50644539.87694933
232,1606521600000,48342106.17466508
233,1606608000000,49578610.9089142
