,Time,XRP Market Cap
174,1601683200000,10556863497.81936
175,1601769600000,10514196298.522305
176,1601856000000,11199587834.605822
177,1601942400000,11307554311.79234
178,1602028800000,11084643136.206514
179,1602115200000,11218818700.668955
180,1602201600000,11334024210.08485
181,1602288000000,11430599247.425383
182,1602374400000,11480057649.969584
183,1602460800000,11528592963.20647
184,1602547200000,11547933259.808218
185,1602633600000,11579458886.39285
186,1602720000000,11289545967.208305
187,1602806400000,11112767380.445564
188,1602892800000,10874858493.814573
189,1602979200000,10900012046.55129
190,1603065600000,10954294383.128601
191,1603152000000,11127972262.118706
192,1603238400000,11010364585.952297
193,1603324800000,11329214560.353268
194,1603411200000,11608695449.016638
195,1603497600000,11528694804.751501
196,1603584000000,11583185134.49128
197,1603670400000,11437584758.527473
198,1603756800000,11251937997.81557
199,1603843200000,11442642257.775915
200,1603929600000,11130573950.231762
201,1604016000000,10984724881.899355
202,1604102400000,10810777275.29966
203,1604188800000,10856481131.012754
204,1604275200000,10850086644.81099
205,1604361600000,10658907925.256021
206,1604448000000,10825564613.24112
207,1604534400000,10743521737.795147
208,1604620800000,11124604142.737074
209,1604707200000,11704359403.324839
210,1604793600000,11317038198.801226
211,1604880000000,11505066439.712793
212,1604966400000,11352430154.034582
213,1605052800000,11490781189.881498
214,1605139200000,11581743651.842678
215,1605225600000,11568349653.60645
216,1605312000000,11967905201.744621
217,1605398400000,12168486548.547995
218,1605484800000,12225964205.426842
219,1605571200000,13020227238.11232
220,1605657600000,13699226052.693602
221,1605744000000,13333028438.790695
222,1605830400000,13688238714.07078
223,1605916800000,14856763848.314428
224,1606003200000,20875694423.800144
225,1606089600000,20263167572.455383
226,1606176000000,27755744126.98821
227,1606262400000,31379229573.72973
228,1606348800000,28365023766.984234
229,1606435200000,24167249535.986282
230,1606521600000,25290590706.82122
231,1606608000000,28482039221.782608
232,1606694400000,27374753041.126007
233,1606780800000,30191107728.904293
234,1606867200000,27852580172.90597
235,1606953600000,28652042370.99992
236,1607040000000,28523422427.20637
237,1607126400000,25322343136.79266
238,1607212800000,26383914795.40367
239,1607299200000,28055829285.312027
240,1607385600000,27593689253.630165
241,1607472000000,25538249072.542416
242,1607558400000,26432126584.83739
243,1607644800000,26129930568.260216
244,1607731200000,24942199061.447376
245,1607817600000,22932137899.870888
246,1607904000000,23188566647.30845
247,1607990400000,22614178550.15045
248,1608076800000,21274488732.630653
249,1608163200000,25131003383.146965
250,1608249600000,26149773219.36809
251,1608336000000,26367897241.432484
252,1608422400000,26296084999.493507
253,1608508800000,25235008585.15551
254,1608595200000,23545991367.258896
255,1608681600000,20501594828.858875
256,1608768000000,12163610689.503866
257,1608854400000,16602939796.20576
258,1608940800000,14088171755.507318
259,1609027200000,13418021942.616997
260,1609113600000,13068762432.413218
261,1609200000000,11125026065.81033
262,1609286400000,10057607712.33219
263,1609372800000,9633436313.890484
264,1609459200000,9986921049.346117
265,1609545600000,10785755952.896763
266,1609632000000,10066602632.999481
267,1609718400000,10455111151.166016
268,1609804800000,10578255930.15237
269,1609891200000,10299283152.408031
270,1609977600000,11458017061.61058
271,1610064000000,14783360785.307053
272,1610150400000,14620012702.672577
273,1610236800000,14981088874.901352
274,1610323200000,14491113587.04244
275,1610409600000,13238979457.402128
276,1610496000000,13344731547.471989
277,1610582400000,13957393308.172102
278,1610668800000,13478198579.22908
279,1610755200000,12758648527.012667
280,1610841600000,12752821363.443003
281,1610928000000,12608874407.39614
282,1611014400000,12954366484.188166
283,1611100800000,13433997245.77599
284,1611187200000,13484155008.268005
285,1611273600000,12251471331.286976
286,1611360000000,12348108563.326498
287,1611446400000,12353173876.273672
288,1611532800000,12456245392.6549
289,1611619200000,12239551031.522264
290,1611705600000,12218188875.589693
291,1611792000000,11407608804.15268
292,1611878400000,12118698621.825148
293,1611964800000,12853353143.140347
294,1612051200000,19215011544.534508
295,1612137600000,22460670801.01922
296,1612224000000,16887446178.179226
297,1612310400000,17039497521.900589
298,1612396800000,17945935420.571823
299,1612483200000,20405940224.787098
300,1612569600000,20535328839.092148
301,1612656000000,20205229008.6856
302,1612742400000,19158415883.033073
303,1612828800000,20468514863.339752
304,1612915200000,21583065336.769062
305,1613001600000,22982765730.237637
306,1613088000000,23856145163.797523
307,1613174400000,27960966907.84191
308,1613260800000,28721338583.23619
309,1613347200000,27087614068.25724
310,1613433600000,25026313241.817905
311,1613520000000,23858413182.24458
312,1613606400000,24600084027.406086
313,1613692800000,24401068320.804165
314,1613779200000,26073015135.898396
315,1613865600000,23657760929.564903
316,1613952000000,25191390487.04061
317,1614038400000,26315783830.375607
318,1614124800000,21616170566.952755
319,1614211200000,21552614418.590008
320,1614297600000,19755041198.644775
321,1614384000000,19740260345.517567
322,1614470400000,20027896981.23032
323,1614556800000,18911825797.223972
324,1614643200000,20552651911.176292
325,1614729600000,20062243305.49367
326,1614816000000,20695029438.915802
327,1614902400000,22099684135.6188
328,1614988800000,20924229172.953815
329,1615075200000,21217513030.920322
330,1615161600000,21346485941.39555
331,1615248000000,21854816055.903694
332,1615334400000,22264238440.69771
333,1615420800000,21262253816.11749
334,1615507200000,20746293012.117126
335,1615593600000,20167421887.68146
336,1615680000000,21131015891.193703
337,1615766400000,20362356691.720158
338,1615852800000,20046575704.500507
339,1615939200000,21256330225.999702
340,1616025600000,21705878435.49229
341,1616112000000,21683764043.52461
342,1616198400000,21486188493.978672
343,1616284800000,24299248758.427185
344,1616371200000,23912350892.242435
345,1616457600000,25443377644.783222
346,1616544000000,25328216010.82461
347,1616630400000,22421022550.637875
348,1616716800000,23454220010.3365
349,1616803200000,26022913036.415676
350,1616889600000,25186564703.1959
351,1616976000000,25262286543.943695
352,1617062400000,25942283784.411938
353,1617148800000,25985680163.48191
354,1617235200000,26345850652.65566
355,1617321600000,26156246584.42219
356,1617408000000,27689105144.11829
357,1617494400000,26697487988.47653
358,1617580800000,28867765642.151623
359,1617667200000,41446009348.247505
360,1617753600000,50389991767.084885
361,1617840000000,42704151358.50662
362,1617926400000,48192343014.51859
363,1618012800000,47443263646.75937
364,1618099200000,62809519330.02565
365,1618185600000,61944875382.23251
366,1618272000000,66682095016.478325
367,1618358400000,82194439880.46928
368,1618444800000,84389055763.71935
369,1618531200000,80621962486.44653
370,1618617600000,72810668537.58891
371,1618704000000,71413494678.56975
372,1618790400000,64857860313.74
373,1618876800000,60778792590.85363
374,1618963200000,63746186778.71684
375,1619049600000,60129127303.288475
376,1619136000000,54216823754.63583
377,1619222400000,53657136235.37748
378,1619308800000,48871830051.980896
379,1619395200000,47614962664.0507
380,1619481600000,62600752594.473076
381,1619568000000,64486175307.857185
382,1619654400000,62692541827.17323
383,1619740800000,64327724818.26861
384,1619827200000,73298828829.0944
385,1619913600000,76025679530.23318
386,1620000000000,71701291962.31635
387,1620086400000,71679793845.11757
388,1620172800000,64259873894.806694
389,1620259200000,74138782426.5491
390,1620345600000,73754025260.05373
391,1620432000000,72785522492.3733
392,1620518400000,72020347233.61066
393,1620604800000,70558561783.21365
394,1620691200000,64451974677.036804
395,1620777600000,67993904755.77808
396,1620864000000,61123682935.37894
397,1620950400000,62597600197.15654
398,1621036800000,64571597603.9546
399,1621123200000,68002621654.34993
400,1621209600000,67223794128.39051
401,1621296000000,68590542697.55028
402,1621382400000,72852567696.53607
403,1621468800000,50091782111.2559
404,1621555200000,54238776434.31301
405,1621641600000,46156188090.29648
406,1621728000000,41860408304.124275
407,1621814400000,36912826641.026886
408,1621900800000,45475035158.975365
409,1621987200000,44725206891.78951
410,1622073600000,47675888355.92232
411,1622160000000,44831608818.18857
412,1622246400000,41327227215.889
413,1622332800000,38784269249.758804
414,1622419200000,41726594494.88639
415,1622505600000,48054553991.807175
416,1622592000000,46674110292.99546
417,1622678400000,47256850790.178375
418,1622764800000,48491814037.47901
419,1622851200000,44809104088.392914
420,1622937600000,42302337683.14435
421,1623024000000,43471756649.737526
422,1623110400000,39437071032.286285
423,1623196800000,40450990715.74534
424,1623283200000,42088605425.836
425,1623369600000,40461589120.176155
426,1623456000000,39130309347.56748
427,1623542400000,38569016787.39522
428,1623628800000,40925186890.76209
429,1623715200000,41253166682.60748
430,1623801600000,40312888500.39617
431,1623888000000,38620201137.317535
432,1623974400000,38819180172.98798
433,1624060800000,36932589366.38297
434,1624147200000,35221141669.96444
435,1624233600000,35815532872.76087
436,1624320000000,28871387082.357655
437,1624406400000,25450718833.253757
438,1624492800000,29694967545.318787
439,1624579200000,31057874496.418858
440,1624665600000,28700209150.03127
441,1624752000000,28325396042.471207
442,1624838400000,30171056185.70429
443,1624924800000,29942729066.831112
444,1625011200000,32605743402.647835
445,1625097600000,32268800761.051617
446,1625184000000,30647057119.673344
447,1625270400000,30215830565.461456
448,1625356800000,31138455875.288597
449,1625443200000,32159771283.85795
450,1625529600000,30453863819.504448
451,1625616000000,30723093719.801144
452,1625702400000,30147793682.466793
453,1625788800000,28843574198.216454
454,1625875200000,29681644971.035645
455,1625961600000,29048791926.905113
456,1626048000000,29486316673.96478
457,1626134400000,29247980265.760162
458,1626220800000,28670030241.537884
459,1626307200000,28779372130.819828
460,1626393600000,27694734252.607735
461,1626480000000,27201988882.770893
462,1626566400000,27109511265.747284
463,1626652800000,27175846391.033463
464,1626739200000,26075532617.71391
465,1626825600000,24615569713.49713
466,1626912000000,26445756208.820633
467,1626998400000,27517390338.90026
468,1627084800000,28196999500.970444
469,1627171200000,28269947663.60385
470,1627257600000,28326472774.149746
471,1627344000000,28868798734.47323
472,1627430400000,29723719168.358337
473,1627516800000,32852692988.230244
474,1627603200000,34826525034.87061
475,1627689600000,34956569128.79335
476,1627776000000,34822531550.131996
477,1627862400000,33490734955.83339
478,1627948800000,34349676133.534256
479,1628035200000,33218265132.768913
480,1628121600000,33994364798.13678
481,1628208000000,34143817201.28548
482,1628294400000,34633334804.98132
483,1628380800000,37894868456.38714
484,1628467200000,36263438396.09534
485,1628553600000,37583709631.508995
486,1628640000000,39514002150.6668
487,1628726400000,46598977910.73202
488,1628812800000,44736297538.85398
489,1628899200000,50454533105.66228
490,1628985600000,60003066118.75983
491,1629072000000,59584210571.94573
492,1629158400000,55864357102.57856
493,1629244800000,50803400116.72417
494,1629331200000,53716679098.06286
495,1629417600000,54568786813.40489
496,1629504000000,58384958845.834984
497,1629590400000,56683485420.240036
498,1629676800000,57001021097.1346
499,1629763200000,58032501462.3368
500,1629849600000,53731037233.17458
501,1629936000000,54461699709.8884
502,1630022400000,51253633200.265205
503,1630108800000,54816173108.79227
504,1630195200000,53420204731.61571
505,1630281600000,53214009871.00871
506,1630368000000,51552699668.6147
507,1630454400000,55449845566.08223
508,1630540800000,57176500918.343796
509,1630627200000,58518869426.32522
510,1630713600000,60097905361.71874
511,1630800000000,58328018007.69259
512,1630886400000,60369683926.971634
513,1630972800000,64681235824.03411
514,1631059200000,52560384655.15143
515,1631145600000,51742102326.78837
516,1631232000000,50955416305.62672
517,1631318400000,49040455295.85219
518,1631404800000,50064588773.404015
519,1631491200000,52198672027.55827
520,1631577600000,49713889918.76721
521,1631664000000,51112488081.680565
522,1631750400000,52164873856.70661
523,1631836800000,50840881076.693855
524,1631923200000,49776618499.80079
525,1632009600000,50095864483.0054
526,1632096000000,48976892028.34062
527,1632182400000,42739802420.452415
528,1632268800000,40536055692.84123
529,1632355200000,46525234505.14472
530,1632441600000,46670917777.496605
531,1632528000000,44406741436.03866
532,1632614400000,44234883872.336235
533,1632700800000,44610627727.601494
534,1632787200000,43056599715.41218
535,1632873600000,42026727617.622604
536,1632960000000,43276000832.10583
537,1633046400000,44546255848.781906
538,1633132800000,48635128492.83734
539,1633219200000,48624896672.828384
540,1633305600000,49365458816.466354
541,1633392000000,48793771729.00825
542,1633478400000,50742040289.27556
543,1633564800000,50510105397.084496
544,1633651200000,50032615318.54273
545,1633737600000,49574670484.36498
546,1633824000000,54500306202.6913
547,1633910400000,53174487201.32791
548,1633996800000,52826755743.18047
549,1634083200000,51575328749.387634
550,1634169600000,52904409166.68246
551,1634256000000,53092666834.4863
552,1634342400000,53654404126.03082
553,1634428800000,53515008800.351616
554,1634515200000,51215070062.497025
555,1634601600000,51082154781.4788
556,1634688000000,51167582884.696075
557,1634774400000,53654051903.943184
558,1634860800000,51293226624.23202
559,1634947200000,51357605672.02348
560,1635033600000,51425869926.66042
561,1635120000000,50856627372.07209
562,1635206400000,51540864623.922
563,1635292800000,52124585331.5793
564,1635379200000,46866516355.16261
565,1635465600000,49800059933.16295
566,1635552000000,50786029526.88663
567,1635638400000,50566114767.03765
568,1635724800000,52393229939.57826
569,1635811200000,51393344971.35801
570,1635897600000,53415011179.1182
571,1635984000000,56780580558.89655
572,1636070400000,55830878969.167984
573,1636156800000,54740175009.61684
574,1636243200000,54193429674.51924
575,1636329600000,57472702553.16003
576,1636416000000,60874912549.54917
577,1636502400000,59453346956.008064
578,1636588800000,55649461110.10411
579,1636675200000,57494245414.409386
580,1636761600000,56317864715.8241
581,1636848000000,56293298557.09905
582,1636934400000,55951324170.01716
583,1637020800000,55534908930.01491
584,1637107200000,51599269663.09816
585,1637193600000,51594668705.87203
586,1637280000000,48929167670.27969
587,1637366400000,51349868689.57812
588,1637452800000,51889175238.31417
589,1637539200000,50711625089.19429
590,1637625600000,48855446959.72306
591,1637712000000,50301867085.74057
592,1637798400000,48664111213.885345
593,1637884800000,49163443594.61245
594,1637971200000,44210729012.078995
595,1638057600000,44336654042.92713
596,1638144000000,45579229249.57213
597,1638230400000,46807842263.10092
598,1638316800000,47048123045.71624
599,1638403200000,46758577987.40217
600,1638489600000,46300485388.87274
601,1638576000000,43548226427.108055
602,1638662400000,39946504040.82354
603,1638748800000,37897133536.91342
604,1638835200000,38940210511.585495
605,1638921600000,38601071500.418205
606,1639008000000,40656065255.449844
607,1639094400000,40954822606.92518
608,1639180800000,37741105109.436134
609,1639267200000,39548091761.79502
610,1639353600000,39681888499.94044
611,1639440000000,36975860235.2817
612,1639526400000,38320974597.67936
613,1639612800000,39175910677.259605
614,1639699200000,38189684295.14045
615,1639785600000,37872043386.174675
616,1639872000000,39207231523.100174
617,1639958400000,39502570475.66171
618,1640044800000,41949396100.263
619,1640131200000,44974972561.30616
620,1640217600000,45235063039.09493
621,1640304000000,47262504686.86194
622,1640390400000,43438501700.20997
623,1640476800000,44106583972.1587
624,1640563200000,43822166547.54349
625,1640649600000,44120583696.57214
626,1640736000000,40784012992.497345
627,1640822400000,38969006497.60233
628,1640908800000,39952371487.69365
629,1640995200000,39521292390.58477
630,1641081600000,40453081982.45346
631,1641168000000,40928936335.45811
632,1641254400000,39667497742.72751
633,1641340800000,39372072384.767006
634,1641427200000,37016373098.110214
635,1641513600000,37364002396.49064
636,1641600000000,36426581574.17674
637,1641686400000,35742954145.162506
638,1641772800000,35888908513.520424
639,1641859200000,35256497135.60703
640,1641945600000,36764295066.6237
641,1642032000000,38156686082.61434
642,1642118400000,36738241655.41219
643,1642204800000,36893370983.00779
644,1642291200000,37238112155.95848
645,1642377600000,37152076627.061
646,1642464000000,36467550909.227
647,1642550400000,35928632965.60265
648,1642636800000,35361191998.402435
649,1642723200000,34534739952.51737
650,1642809600000,30525594005.19316
651,1642896000000,28567576973.565277
652,1642982400000,30045394326.185913
653,1643068800000,29396856512.62248
654,1643155200000,29620625747.012314
655,1643241600000,29801890236.89736
656,1643328000000,29129366194.81477
657,1643414400000,29287821638.577694
658,1643500800000,29445353884.42251
659,1643587200000,28850613224.012375
660,1643673600000,29553290453.17287
661,1643760000000,30084907427.353535
662,1643846400000,28766534259.757153
663,1643932800000,29161275665.801453
664,1644019200000,31113642593.887524
665,1644105600000,32145115972.23587
666,1644192000000,32810995566.6311
667,1644278400000,39506496107.51002
668,1644364800000,42130847575.61262
669,1644451200000,42196654317.52713
670,1644537600000,40079653442.91532
671,1644624000000,36423431829.04126
672,1644710400000,39120421789.46051
673,1644796800000,38806859793.893555
674,1644883200000,38448661595.62696
675,1644969600000,40834438279.59535
676,1645056000000,40187017225.8397
677,1645142400000,36963479625.065254
678,1645228800000,37773994946.58903
679,1645315200000,39561276267.6763
680,1645401600000,37317825787.82265
681,1645488000000,33972778766.692947
682,1645574400000,34808187364.35561
683,1645660800000,33701843282.350643
684,1645747200000,33453595245.003593
685,1645833600000,36980776521.84238
686,1645920000000,35942263895.59888
687,1646006400000,34581739036.304855
688,1646092800000,37500615316.86525
689,1646179200000,37744545801.86735
690,1646265600000,36857824863.63222
691,1646352000000,36230318096.370834
692,1646438400000,34196859571.601543
693,1646524800000,36199173075.572495
694,1646611200000,34850697038.2734
695,1646697600000,34699488211.455986
696,1646784000000,34608063705.636986
697,1646870400000,36825355524.15274
698,1646956800000,35355341438.5968
699,1647043200000,38564286814.264175
700,1647129600000,37752795220.75425
701,1647216000000,36608123215.65504
702,1647302400000,37138477845.663216
703,1647388800000,36906247283.91733
704,1647475200000,37530785877.27055
705,1647561600000,38199986361.641
706,1647648000000,38423054070.51003
707,1647734400000,39379307066.49004
708,1647820800000,38867169621.4932
709,1647907200000,40278680453.0231
710,1647993600000,40301095225.540955
711,1648080000000,40309455205.726654
712,1648166400000,40523755643.15179
713,1648252800000,39672483855.87599
714,1648339200000,39989129613.705086
715,1648425600000,41121465144.908394
716,1648512000000,41579711813.883125
717,1648598400000,41224241577.90292
718,1648684800000,41449148705.78688
719,1648771200000,39229302714.938545
720,1648857600000,39813871220.935646
721,1648944000000,39816351313.276695
722,1649030400000,40545522531.02838
723,1649116800000,39809813062.1763
724,1649203200000,39411319969.837364
725,1649289600000,36687016206.95844
726,1649376000000,37944994433.974365
727,1649462400000,36222968800.71056
728,1649548800000,36744121558.51562
729,1649635200000,36403620789.85844
730,1649711528000,33758550172.188522
