Time,Solana Volume,Binance Volume,Cronos Volume,Ethereum Volume,Fantom Volume,Polymath Volume,Tron Volume,XRP Volume
2020-11-13,10853681.100996608,311995951.6239633,28600893.68746669,10814357418.247974,6818045.391669492,4749186.714379309,612834261.675716,1990257295.664584
2020-11-14,7480703.339548037,278005831.2590616,30873382.705053203,9774490045.968237,5624032.302046661,1721048.7609185611,638371882.3664191,2758537841.089829
2020-11-15,17895366.80890147,275640282.474266,29953490.14280583,8946780761.302334,5448135.598730484,8869073.638743447,657249344.7013028,2253509325.842203
2020-11-16,20610242.317284264,299723403.71419746,28296605.339180924,9874800384.414816,7321571.55456373,3079148.03976552,614383770.8345109,2619354064.037104
2020-11-17,15969353.057183923,348152455.1438428,32386405.99703329,12534266981.990389,8218605.407955242,2165788.840276358,797296066.210851,3708626433.356688
2020-11-18,13848265.661515675,352337836.81396353,43930260.98395101,15390748756.847664,6182032.30431545,2264399.9950224548,1061617079.3409582,3536858599.256962
2020-11-19,9316529.247631349,358451200.4430944,38519462.01002768,10960245344.173328,11891905.95897364,2365336.932787389,762903574.1132225,3299823590.057705
2020-11-20,10371769.862920254,405663771.1299502,43751061.202715166,15567496836.779345,5696235.747604073,2371525.685881623,791787366.1491635,4031626953.711598
2020-11-21,25366504.823793355,525345854.5300972,60264756.31362317,17270632325.076218,9518273.947661616,5063703.049716619,1650443139.3555484,11568110626.132616
2020-11-22,20574885.270062737,525885402.072846,52622892.18854556,20803203330.719395,7991317.315071608,2103333.599373763,1569408333.3345134,13267899387.434444
2020-11-23,18928875.39550107,542655453.1484727,56210214.01124951,22868894446.116894,14228693.34649768,2576421.32916099,1448663967.412368,16337857185.588816
2020-11-24,32072469.88442561,1096295979.1698856,78587386.74846381,19964356486.3813,21313417.197521366,3920065.857645973,2569591004.3873634,25054631707.694504
2020-11-25,31314180.50158886,750470552.5857823,72069366.17866455,15178975818.650188,18100334.330977187,3218708.8954384746,1773571298.8836637,15881817933.691149
2020-11-26,41413742.502415486,822530057.4413354,67790391.01885246,25993581649.401203,16956150.58072047,14403964.77934321,1777378516.4762168,16365178183.68151
2020-11-27,16043158.39733107,449165862.3846898,54390309.3061846,14714678172.404446,6138268.391096284,3825398.652276847,1098295535.9099233,12327164429.37968
2020-11-28,13543976.251381855,438446980.13024384,41818494.14185877,9637463879.915297,7839949.697642702,1897639.9208870656,993900866.551098,12099372210.01124
2020-11-29,7475716.686282049,452491273.7054235,40025146.58183745,13623124682.204208,3727266.883123893,1378533.4061511443,855564507.3828869,9754558134.524963
2020-11-30,10302108.6624142,485785914.1281714,58061339.3509825,18811269166.61186,7412461.350935761,5563950.683391017,1022464009.4714342,11254530543.020834
2020-12-01,15857429.667479658,540539151.3051172,57778105.108602434,23557071520.39523,10129324.124656131,4008106.011107983,1325676768.1113565,10829413534.042892
2020-12-02,20110298.14090546,431345761.8952676,51019544.87284504,14839044995.297548,6777165.698957954,2916375.094409165,789193124.3054954,7999607157.515091
