,Time,Cronos Market Cap
168,1600992000000,3126754189.029804
169,1601078400000,3117269299.645803
170,1601164800000,3127043477.1356587
171,1601251200000,3130420220.3163805
172,1601337600000,3096882734.6146803
173,1601424000000,3122703151.273061
174,1601510400000,3102398294.644583
175,1601596800000,3047823353.710211
176,1601683200000,2996084772.8873277
177,1601769600000,2998207750.303474
178,1601856000000,3033174358.6330123
179,1601942400000,3068461087.29209
180,1602028800000,3017281316.372249
181,1602115200000,3028319312.4099727
182,1602201600000,3090635555.15757
183,1602288000000,3132883568.4234157
184,1602374400000,3174079034.974063
185,1602460800000,3177522775.7069798
186,1602547200000,3189729790.777024
187,1602633600000,3041350212.550255
188,1602720000000,2868247155.682999
189,1602806400000,2886909348.5296235
190,1602892800000,2822647105.3547654
191,1602979200000,2772578328.59281
192,1603065600000,2520695230.9392514
193,1603152000000,2279955068.00922
194,1603238400000,2208329265.642102
195,1603324800000,2106537281.7457473
196,1603411200000,2010966939.5150476
197,1603497600000,2106556497.7692575
198,1603584000000,2130728617.5265424
199,1603670400000,2027591989.5578759
200,1603756800000,2003060062.8028536
201,1603843200000,2068706284.8856857
202,1603929600000,1873757300.064864
203,1604016000000,1904937096.0877151
204,1604102400000,1770379287.2072506
205,1604188800000,1783843222.383929
206,1604275200000,1774914308.2115943
207,1604361600000,1691107695.4920359
208,1604448000000,1669500477.2420616
209,1604534400000,1627427491.76897
210,1604620800000,1673270712.593298
211,1604707200000,1672853054.9404297
212,1604793600000,1553113901.8163116
213,1604880000000,1584260901.9688165
214,1604966400000,1482172204.4789433
215,1605052800000,1483502756.19635
216,1605139200000,1505809796.6597967
217,1605225600000,1528140142.585262
218,1605312000000,1499896691.6588628
219,1605398400000,1447198413.868821
220,1605484800000,1373617240.976396
221,1605571200000,1409343883.1117475
222,1605657600000,1417010277.661562
223,1605744000000,1428971934.2183568
224,1605830400000,1449395452.533757
225,1605916800000,1677603924.4235253
226,1606003200000,1579565550.6757832
227,1606089600000,1551711386.1684759
228,1606176000000,1571516091.3056798
229,1606262400000,1767089031.6270812
230,1606348800000,1714788300.5204368
231,1606435200000,1388416794.3493967
232,1606521600000,1400475893.8032658
233,1606608000000,1426806617.9673195
234,1606694400000,1444851402.6059904
235,1606780800000,1533809847.7547245
236,1606867200000,1438029112.093324
237,1606953600000,1465121973.7360313
238,1607040000000,1458225802.3291247
239,1607126400000,1386056722.773379
240,1607212800000,1410680729.133753
241,1607299200000,1399463993.4565852
242,1607385600000,1413365951.6169808
243,1607472000000,1334696166.1643002
244,1607558400000,1335106651.9539351
245,1607644800000,1302913638.758091
246,1607731200000,1298051996.1993954
247,1607817600000,1315401604.8751974
248,1607904000000,1341818411.1940014
249,1607990400000,1345919095.7769191
250,1608076800000,1365833487.675048
251,1608163200000,1430336741.6181707
252,1608249600000,1474882464.5846777
253,1608336000000,1439222397.6532102
254,1608422400000,1466065209.3176665
255,1608508800000,1476649890.025324
256,1608595200000,1330592645.3766384
257,1608681600000,1352981417.2969167
258,1608768000000,1252600978.8315694
259,1608854400000,1298021383.381885
260,1608940800000,1298957565.871143
261,1609027200000,1322491179.5463784
262,1609113600000,1281332918.3152866
