,Time,Polymath Volume
92,1594425600000,2064296.8503465625
93,1594512000000,1366149.5980432688
94,1594598400000,1119019.8861431058
95,1594684800000,878134.0336796513
96,1594771200000,2328404.881894124
97,1594857600000,2132499.09808408
98,1594944000000,1432967.0913817685
99,1595030400000,685436.2692340105
100,1595116800000,651579.9208380498
101,1595203200000,524338.7482706613
102,1595289600000,1312564.2259025776
103,1595376000000,2709575.2979353312
104,1595462400000,1735631.8808291915
105,1595548800000,1005610.1040481079
106,1595635200000,1055099.1917775692
107,1595721600000,877194.4248298066
108,1595808000000,1204524.9609384115
109,1595894400000,1140599.081797415
110,1595980800000,871098.5686430389
111,1596067200000,1477277.8107329295
112,1596153600000,950538.6159653905
113,1596240000000,626900.324584966
114,1596326400000,670188.7562658819
115,1596412800000,891966.1065157533
116,1596499200000,639160.7092973863
117,1596585600000,1562435.6308791891
118,1596672000000,639844.8871241735
119,1596758400000,649905.2118037284
120,1596844800000,5284982.185308837
121,1596931200000,1493577.8097666781
122,1597017600000,3804131.043116708
123,1597104000000,2868228.9203627827
124,1597190400000,8328859.471080587
125,1597276800000,2125062.711380692
126,1597363200000,1732587.9982165413
127,1597449600000,1867859.4548521289
128,1597536000000,1335493.6838758455
129,1597622400000,3405719.98359738
130,1597708800000,5474040.599838036
131,1597795200000,5935861.569135658
132,1597881600000,3014987.6346881976
133,1597968000000,2046058.3711275735
134,1598054400000,2214115.1686282936
135,1598140800000,2662086.784769998
136,1598227200000,1944334.9461141983
137,1598313600000,2656604.174086634
138,1598400000000,1497003.861110378
139,1598486400000,6919896.677119686
140,1598572800000,2064597.0842874404
141,1598659200000,1346956.8351001486
142,1598745600000,1859101.1175944712
143,1598832000000,1563685.9687489914
144,1598918400000,1334881.701493867
145,1599004800000,2576692.2419550717
146,1599091200000,1872312.383985234
147,1599177600000,1725003.9552999642
148,1599264000000,1298063.0276729579
149,1599350400000,673315.5509530396
150,1599436800000,972118.1922017322
151,1599523200000,674955.5029465856
152,1599609600000,504264.8778813895
153,1599696000000,553947.4774400829
154,1599782400000,668476.7841785332
155,1599868800000,2506357.836457909
156,1599955200000,2573393.364772158
157,1600041600000,679860.1625473436
158,1600128000000,437582.7305981332
159,1600214400000,1067981.722589646
160,1600300800000,681450.3274483908
161,1600387200000,570375.333251636
162,1600473600000,1138390.1579112122
163,1600560000000,438616.67403861455
164,1600646400000,554627.647367671
165,1600732800000,727363.1599106264
166,1600819200000,368003.49687039794
167,1600905600000,608274.089636815
168,1600992000000,482944.11232706904
169,1601078400000,605247.2245144638
170,1601164800000,469459.51900847646
171,1601251200000,675294.0513672957
172,1601337600000,2143477.039948328
173,1601424000000,709376.6569582887
174,1601510400000,1830889.9427205992
175,1601596800000,896578.4885736485
176,1601683200000,983388.4765308241
177,1601769600000,576199.04919793
178,1601856000000,555473.9762300602
179,1601942400000,691949.753736897
180,1602028800000,828304.6219416275
181,1602115200000,452887.93416218314
182,1602201600000,975914.8667283949
183,1602288000000,2940319.926543328
184,1602374400000,815242.4612532746
185,1602460800000,751212.4133483013
186,1602547200000,1393748.1346785065
187,1602633600000,7339503.085811142
188,1602720000000,3354483.105869333
189,1602806400000,812232.3136749415
190,1602892800000,656632.6626154602
191,1602979200000,1065072.5591154925
192,1603065600000,506580.8433794147
193,1603152000000,760187.6158033404
194,1603238400000,2012612.095132245
195,1603324800000,1006938.885441476
196,1603411200000,613081.2188906227
197,1603497600000,1105765.079276122
198,1603584000000,34120696.47314324
199,1603670400000,4145064.0916814217
200,1603756800000,2400095.30292258
201,1603843200000,2064530.1742071058
202,1603929600000,1438144.9087791808
203,1604016000000,2866881.1116442014
204,1604102400000,6382990.238300129
205,1604188800000,3074933.1588997096
206,1604275200000,2783675.7492952207
207,1604361600000,2742815.3455489697
208,1604448000000,2495193.091138581
209,1604534400000,1168583.8184467584
210,1604620800000,1547585.62817881
211,1604707200000,6155051.732048257
212,1604793600000,19094603.0120662
213,1604880000000,6133702.975767102
214,1604966400000,20033623.22269039
215,1605052800000,26781836.13292833
216,1605139200000,7164194.997184096
217,1605225600000,15964259.37819051
218,1605312000000,4749186.714379309
219,1605398400000,1721048.7609185611
220,1605484800000,8869073.638743447
221,1605571200000,3079148.03976552
222,1605657600000,2165788.840276358
223,1605744000000,2264399.9950224548
224,1605830400000,2365336.9327873895
225,1605916800000,2371525.685881623
226,1606003200000,5063703.049716619
227,1606089600000,2103333.599373763
228,1606176000000,2576421.32916099
229,1606262400000,3920065.857645973
230,1606348800000,3218708.8954384746
231,1606435200000,14403964.77934321
232,1606521600000,3825398.6522768466
233,1606608000000,1897639.9208870658
234,1606694400000,1378533.4061511445
235,1606780800000,5563950.683391017
236,1606867200000,4008106.011107983
237,1606953600000,2916375.0944091654
238,1607040000000,1981272.5418044853
239,1607126400000,3813482.1315090605
240,1607212800000,1196677.2059603452
241,1607299200000,1654495.9481116587
242,1607385600000,6576660.519050353
243,1607472000000,1387884.1766383264
244,1607558400000,1383470.3962158174
245,1607644800000,1044822.9558955858
246,1607731200000,716745.8850798636
247,1607817600000,823748.0400312934
248,1607904000000,969149.597010669
249,1607990400000,420994.5927609341
250,1608076800000,604241.6561436099
251,1608163200000,894785.8413569382
252,1608249600000,1388517.9207384267
253,1608336000000,1832149.9070229551
254,1608422400000,17076355.185308613
255,1608508800000,33016040.49964376
256,1608595200000,3507993.3050096794
257,1608681600000,1602609.7485450036
258,1608768000000,3316514.926697219
259,1608854400000,1631662.222046301
260,1608940800000,1040111.4326523026
261,1609027200000,2810295.956886861
262,1609113600000,28729817.24227959
263,1609200000000,11261665.790801713
264,1609286400000,3412114.059033848
265,1609372800000,1682361.073341842
266,1609459200000,2852528.2896751305
267,1609545600000,55650387.08989845
268,1609632000000,6607247.839699446
269,1609718400000,12184596.885041386
270,1609804800000,4159333.6066646893
