,Time,Avalanche Volume
77,1607385600000,17934376.787846044
78,1607472000000,24361823.538899977
79,1607558400000,30752642.06041845
80,1607644800000,26557274.246036556
81,1607731200000,29975734.063240666
82,1607817600000,22841147.14844668
83,1607904000000,24791323.898030903
84,1607990400000,26019166.475077584
85,1608076800000,19338279.70522333
86,1608163200000,22761071.46051741
87,1608249600000,25798514.54449682
88,1608336000000,22876167.235580593
89,1608422400000,20119942.901379585
90,1608508800000,19262495.123729777
91,1608595200000,26070122.49536164
92,1608681600000,30313165.86350097
93,1608768000000,54772121.11380685
94,1608854400000,29533715.404195104
95,1608940800000,26081740.45519649
96,1609027200000,22772505.75294801
97,1609113600000,26033390.64777709
98,1609200000000,24292056.308270015
99,1609286400000,24038968.122458648
100,1609372800000,18535107.096902963
101,1609459200000,18856276.37132058
102,1609545600000,73495725.23672332
103,1609632000000,48334246.71500547
104,1609718400000,36322497.09117792
105,1609804800000,34737433.612629786
106,1609891200000,62195573.93838292
107,1609977600000,69276202.4070896
108,1610064000000,50235962.78867241
109,1610150400000,105632108.25614534
110,1610236800000,175907770.88433945
111,1610323200000,86084757.10777552
112,1610409600000,93812090.78420512
113,1610496000000,139476916.10646027
114,1610582400000,95860390.06816863
115,1610668800000,139055430.9417642
116,1610755200000,121449906.25180781
117,1610841600000,274763200.0357675
118,1610928000000,261905853.0901365
119,1611014400000,117222286.33734529
120,1611100800000,137602412.53157094
121,1611187200000,146503918.30653948
122,1611273600000,147554195.77785707
123,1611360000000,171113172.7449789
124,1611446400000,126638480.38501766
125,1611532800000,93729229.68267846
126,1611619200000,84412625.9837596
127,1611705600000,109503339.9774128
128,1611792000000,89488626.80873758
129,1611878400000,93916448.02862483
130,1611964800000,118575466.39042868
131,1612051200000,92540873.29182681
132,1612137600000,302913973.23771626
133,1612224000000,133015631.97741424
134,1612310400000,80693604.10141225
135,1612396800000,120741881.49771881
136,1612483200000,158745931.63233206
137,1612569600000,176514532.6699587
138,1612656000000,171329135.2154263
139,1612742400000,469848044.6890896
140,1612828800000,753489100.7588732
141,1612915200000,369465170.3933558
142,1613001600000,1864834841.9318252
143,1613088000000,674867688.2516339
144,1613174400000,556615019.0249048
145,1613260800000,334919631.1013236
146,1613347200000,410244108.797892
147,1613433600000,488806991.9165682
148,1613520000000,356060812.8780018
149,1613606400000,391164746.2512645
150,1613692800000,427919398.0179883
151,1613779200000,379801202.91102105
152,1613865600000,492691484.1206625
153,1613952000000,304024539.60455525
154,1614038400000,412349660.00768197
155,1614124800000,411495999.6829497
156,1614211200000,427723977.7727849
157,1614297600000,310387937.22893983
158,1614384000000,247743336.28440088
159,1614470400000,230477612.7850947
160,1614556800000,232538774.71807298
161,1614643200000,308775747.5807897
162,1614729600000,603396123.3439286
163,1614816000000,363074840.6570829
164,1614902400000,356310649.10642797
165,1614988800000,245552351.67973706
166,1615075200000,154754261.22236574
167,1615161600000,273005605.9156461
168,1615248000000,203377042.6601986
169,1615334400000,1031867627.1958461
170,1615420800000,765291610.9159317
171,1615507200000,514178258.4388289
172,1615593600000,379484470.71574575
173,1615680000000,455395660.17289835
174,1615766400000,294252177.97215533
175,1615852800000,321463773.28516346
176,1615939200000,460165568.08228034
177,1616025600000,475133052.5521619
178,1616112000000,449721017.5106571
179,1616198400000,675328140.580694
180,1616284800000,388516334.236906
181,1616371200000,371116648.021364
182,1616457600000,373950442.0823653
183,1616544000000,349232570.8752222
184,1616630400000,338153949.62149525
185,1616716800000,330827514.10394925
186,1616803200000,230776170.83686236
187,1616889600000,169854417.50014177
188,1616976000000,228476510.1166219
189,1617062400000,219703944.8350976
190,1617148800000,221563714.6856491
191,1617235200000,224818137.61054862
192,1617321600000,179940714.24838203
193,1617408000000,177255510.81359163
194,1617494400000,426224466.8292235
195,1617580800000,203736404.48602337
196,1617667200000,423543959.12471753
197,1617753600000,402859806.21853745
198,1617840000000,333267898.70347536
199,1617926400000,209480602.2958724
200,1618012800000,268529509.857372
201,1618099200000,374040339.45845217
202,1618185600000,205287732.04654288
203,1618272000000,465865354.31176776
204,1618358400000,366725297.1673147
205,1618444800000,938295404.8147668
206,1618531200000,576835317.7863458
207,1618617600000,423577088.8499272
208,1618704000000,301177193.11705863
209,1618790400000,579381109.8847109
210,1618876800000,316019091.0459517
211,1618963200000,323253556.6640463
212,1619049600000,281165176.54416627
213,1619136000000,301041557.7673158
214,1619222400000,363249177.50870264
215,1619308800000,184145561.6293585
216,1619395200000,141275581.2659282
217,1619481600000,260578636.22832766
218,1619568000000,221928172.9493424
219,1619654400000,277058343.56552505
220,1619740800000,253046449.40736306
221,1619827200000,473821081.5676769
222,1619913600000,517110886.44768643
223,1620000000000,279840964.3043837
224,1620086400000,626327133.7186668
225,1620172800000,417038602.09070796
226,1620259200000,266094761.4489015
227,1620345600000,469600110.23071206
228,1620432000000,673472110.85109
229,1620518400000,276293453.14697516
230,1620604800000,287333690.25970376
231,1620691200000,516365754.36653215
232,1620777600000,346412805.8696742
233,1620864000000,627072756.4393809
234,1620950400000,558904348.2719007
235,1621036800000,422257216.836676
236,1621123200000,572957487.1037196
237,1621209600000,595249553.1811095
238,1621296000000,524528860.56920546
239,1621382400000,454537735.89624524
240,1621468800000,725492322.4154593
241,1621555200000,439772793.02975297
242,1621641600000,323128249.21680933
243,1621728000000,192281707.47663826
244,1621814400000,324565112.4037476
245,1621900800000,319094870.19067025
246,1621987200000,230025913.19100344
247,1622073600000,228359717.38723347
248,1622160000000,155195303.00046673
249,1622246400000,159354633.67136985
250,1622332800000,102432769.49294424
251,1622419200000,79071200.59334275
252,1622505600000,102016798.0440714
253,1622592000000,95158358.82394269
254,1622678400000,118743410.66092943
255,1622764800000,138838327.91539803
256,1622851200000,130131982.30481091
257,1622937600000,106947811.76107301
258,1623024000000,55449625.55530477
259,1623110400000,150139153.4265329
260,1623196800000,147281949.88847342
261,1623283200000,128547102.1919657
262,1623369600000,106540918.39861615
263,1623456000000,94662491.78348278
264,1623542400000,97952798.92975728
265,1623628800000,115599101.42754157
266,1623715200000,108610604.31535152
267,1623801600000,101565623.97048505
268,1623888000000,98010447.83910854
269,1623974400000,127140118.492252
270,1624060800000,92381824.59044577
