,Time,Ethereum Market Cap
142,1598745600000,44884412904.61814
143,1598832000000,48092923342.6494
144,1598918400000,49098776608.15353
145,1599004800000,54146717970.58548
146,1599091200000,49401551509.00041
147,1599177600000,43135808902.68998
148,1599264000000,43627087090.328964
149,1599350400000,37655618254.050865
150,1599436800000,39710363028.2121
151,1599523200000,39639961273.34071
152,1599609600000,37835807856.34224
153,1599696000000,39580368571.35996
154,1599782400000,41300327191.463684
155,1599868800000,42135842526.32081
156,1599955200000,43393172173.54062
157,1600041600000,41170490544.06533
158,1600128000000,42353184458.585205
159,1600214400000,41019180031.929504
160,1600300800000,41136175614.140686
161,1600387200000,43828530075.491394
162,1600473600000,43009572687.415535
163,1600560000000,43455110863.06883
164,1600646400000,41929980576.65271
165,1600732800000,38695806846.97656
166,1600819200000,38679912764.2938
167,1600905600000,36239170986.342445
168,1600992000000,39314719146.84341
169,1601078400000,39598389061.56603
170,1601164800000,39946698187.61045
171,1601251200000,40273903426.08249
172,1601337600000,39794887269.461235
173,1601424000000,40574256067.82458
174,1601510400000,40586538615.954575
175,1601596800000,39782583382.89109
176,1601683200000,39005631807.605095
177,1601769600000,39098719406.98244
178,1601856000000,39758373727.61445
179,1601942400000,39890007481.293
180,1602028800000,38419834420.75508
181,1602115200000,38556379197.91778
182,1602201600000,39539898845.29083
183,1602288000000,41261693685.49925
184,1602374400000,41919449520.12781
185,1602460800000,42273071872.950066
186,1602547200000,43787622889.79302
187,1602633600000,43068111158.10915
188,1602720000000,42827891085.95138
189,1602806400000,42625398559.363594
190,1602892800000,41424753265.12099
191,1602979200000,41654901940.043465
192,1603065600000,42730815492.78595
193,1603152000000,42919073937.74135
194,1603238400000,41623179886.79757
195,1603324800000,44137912522.42472
196,1603411200000,46776265907.292244
197,1603497600000,46233128841.054825
198,1603584000000,46625376044.79527
199,1603670400000,45985592948.88831
200,1603756800000,44537523611.830605
201,1603843200000,45687568527.06391
202,1603929600000,43943405500.51123
203,1604016000000,43798925859.1192
204,1604102400000,43341298725.501526
205,1604188800000,43692767478.3082
206,1604275200000,44687833549.98935
207,1604361600000,43437224863.28803
208,1604448000000,43903834507.362854
209,1604534400000,45360338717.11154
210,1604620800000,47077208350.069885
211,1604707200000,51546745852.677986
212,1604793600000,49463138492.48698
213,1604880000000,51682115129.3641
214,1604966400000,50377035452.20988
215,1605052800000,51000796202.07293
216,1605139200000,52569790942.69943
217,1605225600000,52548309254.49251
218,1605312000000,53963588841.127716
219,1605398400000,52476765553.11609
220,1605484800000,50978678612.60896
221,1605571200000,52356872782.26836
222,1605657600000,54716609289.542305
223,1605744000000,54435713128.05311
224,1605830400000,53447508889.231575
225,1605916800000,57875755337.83428
226,1606003200000,62062910159.27977
227,1606089600000,64219272617.02369
228,1606176000000,68705033455.82259
229,1606262400000,68461935305.63655
230,1606348800000,64369854808.743355
231,1606435200000,58947811751.581924
232,1606521600000,58773961397.899704
233,1606608000000,61290956964.36442
234,1606694400000,65121266717.863914
235,1606780800000,69576210026.93625
236,1606867200000,66950738084.67838
237,1606953600000,68153602806.21818
238,1607040000000,70109767421.9594
239,1607126400000,64944263291.91259
240,1607212800000,67764042948.9772
241,1607299200000,68483582708.01654
242,1607385600000,67474119685.86511
243,1607472000000,63305670197.47529
244,1607558400000,65276424697.152855
245,1607644800000,63759073874.73225
246,1607731200000,62124158560.85701
